ID,Name,Discounted Price,Original Price,Discount(%),Rating,Shipping
105,"HP EliteBook 840 G3 - 14” HD, Intel Core i5-6200U 2.4Ghz, 6th Gen 8GB DDR4, 128GB SSD + 500GB HDD, Windows 10 64 bit","52,999","79,999",34%,54,Free Shipping
106,Lenovo ThinkPad T450 - 14 Inch - Intel i5-5300U 2.30GHz - 8 GB RAM - 500GB HDD - Windows 10 Pro - FREE LAPTOP BAG,"37,999","64,999",42%,10,Free Shipping
107,Dell Laptop 3480 - Core i5 7th Generation - 8GB RAM - 256GB SSD - 14inch Screen - FREE LAPTOP BAG,"51,999","79,999",35%,7,Free Shipping
108,Daraz Like New Laptops - Lenovo Thinkpad E590 Core i5 8th Gen 16GB RAM 512GB SSD,"99,999","105,999",6%,0,Free Shipping
109,"2011 Apple MacBook Pro Core i5, 4gb/500gb and 8gb 500Gb Laptop slightly used but in good condition","45,000","55,000",18%,0,Free Shipping
110,"HP Elitebook 840 G1 Core i5-4310U, 8GB, 500GB, 14″ Inc LED USB/HDMI/Fringer Print Sansor","41,500","50,000",17%,0,No Free Shipping
111,"Daraz Like New Laptops - Dell Latitude 3180 HD Laptop Notebook Educational PC (Intel Pentium N4200 Quad Core, 4GB Ram, 128GB Solid State SSD, Camera, HDMI, WiFi, Bluetooth) Windows 10","21,999","29,999",27%,1,Free Shipping
112,"DELL Latitude 3189, Intel Pentium N4200 Quad-Core (1.1 GHz), 4 GB DDR3L Ram, 128 GB SSD, Intel HD Graphics 505, 11.6"" Touchscreen 1366 x 768 Convertible 2-in-1 Laptop Windows 11 Pro 64-Bit (Registered Windows 10)","26,999","27,999",4%,1,Free Shipping
113,MacBook-A1278 13.3 LED Display - IntelÂ® Coreâ¢ 2 Duo Processor 4GB RAM - 500GB HDD - Dual Operating System WindowsÂ® 10 & Mac OS high series 10.12 (Activated),"29,999","40,000",25%,10,No Free Shipping
114,Dell Laptop Latitude 7270 Intel Core i5 6th Generation 8GB Ram 256 GB SSD Slim and Portable,"47,900","53,500",10%,7,No Free Shipping
115,"Daraz Like New Laptops - Dell 3189 Convertible Chromebook 11.6 inches HD IPS Touchscreen, Intel Celeron N3060 Up to 2.48GHz, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Chrome OS","15,999","29,999",47%,2,Free Shipping
116,Dell Latitude 5490 ( TOUCH SCREEN )- Core i5 7th Generation - 8GB RAM - 256GB SSD - 14inch Screen - FREE LAPTOP BAG,"54,999","89,999",39%,2,Free Shipping
117,Acer C740 4gb / 16gb - Chromebook Laptop - With Play Store - Long Battery Life - Best for Online Usage,"14,500","15,500",6%,6,No Free Shipping
118,"Dell Latitude E5490 - Core i5 - 8th Generation - 16gb RAM - 512gb SSD - 14"" Screen - Windows 10 Activated - Free Laptop Bag - Fattani Computer","69,999","85,000",18%,0,No Free Shipping
119,I3 Frist generation 4gb ram and 250gb hard disk with charger,"20,000","25,000",20%,8,No Free Shipping
